Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
X483920176,Joint WROS,FZFXX**,HELD IN MONEY MARKET,,,,6645.97,,,,,0.1066,,,Cash
X483920176,Joint WROS,BIL,SPDR SERIES TRUST STATE STREET BLOOMBERG 1-3 MONTH T-BILL ETF,83.855999999999995,91.51,0,7673.66,0,0,-10.07,-1.4E-3,0.123,7683.73,91.63,Margin
X483920176,Joint WROS,FNILX,Acme ZERO LARGE CAP INDEX FUND,428.791,27.03,0.46,11590.22,197.24,1.7299999999999999E-2,3704.75,0.47010000000000002,0.18579999999999999,7885.47,18.39,Margin
X483920176,Joint WROS,FZILX,Acme ZERO INTERNATIONAL INDEX,710.18100000000004,17.09,0.23,12136.99,163.34,1.3599999999999999E-2,4275.29,0.54310000000000003,0.1946,7861.7,11.07,Margin
X483920176,Joint WROS,IAU,ISHARES GOLD TR ISHARES NEW ISIN #US4642852044 SEDOL #BKP74N6,58.189,81.260000000000005,2.0699999999999998,4728.4399999999996,120.45,2.6100000000000002E-2,1070.0999999999999,0.29239999999999999,7.5800000000000006E-2,3658.34,62.87,Margin
X483920176,Joint WROS,NUKZ,EXCHANGE TRADED CONCEPTS TRUST RANGE NUCLEAR RENAISSANCE INDEX ETF,70.334999999999994,70.22,1.91,4938.92,134.34,2.7900000000000001E-2,1254.07,0.34029999999999999,7.9200000000000007E-2,3684.85,52.39,Margin
X483920176,Joint WROS,SHLD,GLOBAL X FDS DEFENSE TECH ETF,64.521000000000001,63.28,-0.54,4082.89,-34.840000000000003,-8.5000000000000006E-3,405.19,0.1101,6.5500000000000003E-2,3677.7,57,Margin
X483920176,Joint WROS,VGK,VANGUARD INTL EQUITY INDEX FDS FTSE EUROPE ETF,117.581,89.87,0.25,10567,29.4,2.7000000000000001E-3,2198.7600000000002,0.26269999999999999,0.1694,8368.24,71.17,Margin
XQMTVRWK,Alex's old brokerage,FCASH**,HELD IN FCASH,,,,0.21,,,,,1,,,Cash
8043672915,IRA (Alex),SPAXX**,HELD IN MONEY MARKET,,,,59680.85,,,,,0.15890000000000001,,,Cash
8043672915,IRA (Alex),BIL,SPDR SERIES TRUST STATE STREET BLOOMBERG 1-3 MONTH T-BILL ETF,515.49699999999996,91.51,0,47173.13,0,0,2886.78,6.5199999999999994E-2,0.12559999999999999,44286.35,85.91,Cash
8043672915,IRA (Alex),FNILX,Acme ZERO LARGE CAP INDEX FUND,1889.691,27.03,0.46,51078.35,869.26,1.7299999999999999E-2,20219.7,0.65529999999999999,0.13600000000000001,30858.65,16.329999999999998,Cash
